,TempCNN NDVI,TempCNN NDVI STD
0.0,0.8907000005245209,0.036748544208448204
0.05,0.8642000079154968,0.06946750908976827
0.1,0.8156999945640564,0.07058020935921963
0.15,0.843200010061264,0.0710474067340919
0.2,0.8424999952316284,0.09170635189242415
0.25,0.7719000041484833,0.07617881901740498
0.3,0.6993000030517578,0.09829891443173924
0.35,0.7191999971866607,0.05568324234243833
0.4,0.6592000007629395,0.08288519447357451
0.45,0.5761000037193298,0.07863621496173788
0.5,0.47809999585151675,0.0528445320872121
0.55,0.3919999971985817,0.1120773537235506
0.6,0.3442999944090843,0.10097199731342774
0.65,0.21859999969601632,0.0772919411520529
0.7,0.28320000022649766,0.09691668797216973
0.75,0.2418999992311001,0.0921079689516276
0.8,0.23700000047683717,0.13730582204027736
0.85,0.15040000155568123,0.02416701277775535
0.9,0.13799999803304672,0.048194050369093
0.95,0.09920000098645687,0.04066065617805967
1.0,0.12580000087618828,0.0488939907511029
