,TempCNN NDVI,TempCNN NDVI STD
0.0,0.8426999986171723,0.014629428015035119
0.05,0.8401599943637847,0.017090556930860652
0.1,0.837740010023117,0.019080666808463535
0.15,0.8329000115394593,0.018892507954209943
0.2,0.8293200016021729,0.012243165424555905
0.25,0.8203799962997437,0.013982672586340816
0.3,0.8083599984645844,0.019969708030772474
0.35,0.806740003824234,0.016429793729140742
0.4,0.8005799949169159,0.013955627011907237
0.45,0.7751999974250794,0.012713595780899456
0.5,0.7430000126361846,0.016208370325075452
0.55,0.7368000030517579,0.02460297276395002
0.6,0.6867600023746491,0.02336070334829173
0.65,0.6472800016403198,0.025517073086636286
0.7,0.578959995508194,0.04725926527410295
0.75,0.49701999723911283,0.0448563610941788
0.8,0.34095999896526336,0.043472375014349446
0.85,0.20538000017404556,0.03705004928001731
0.9,0.07420000098645688,0.019571862593286624
0.95,0.0235599999781698,0.009399669214968409
1.0,0.007259999867528677,0.005216256419137202
