,SVM-RBF NDVI,SVM-RBF NDVI STD
0.0,0.7597,0.09024476593009578
0.05,0.77778,0.07427243843520363
0.1,0.7559199999999999,0.07346383539613972
0.15,0.74168,0.04504093940208422
0.2,0.72348,0.03362052283287034
0.25,0.7014400000000001,0.023621233385804956
0.3,0.65996,0.020871628802968126
0.35,0.6241800000000001,0.018792539891019415
0.4,0.59986,0.014495991783171581
0.45,0.55048,0.01997491760517005
0.5,0.5166600000000001,0.024128185454636516
0.55,0.47501999999999994,0.011148871392806235
0.6,0.42245999999999995,0.015437918685280506
0.65,0.37078,0.01795140353534756
0.7,0.31457999999999997,0.016982723247138218
0.75,0.24506000000000006,0.01732154727499827
0.8,0.20026000000000002,0.020580044271629305
0.85,0.15314,0.013564021036059573
0.9,0.09397999999999998,0.006600639699638548
0.95,0.056900000000000006,0.017346725595595525
1.0,0.018660000000000003,0.007733362068912129
