,SVM-LINEAR NDVI,SVM-LINEAR NDVI STD
0.0,0.83112,0.015195086925275127
0.05,0.8215199999999999,0.014558143959844456
0.1,0.81336,0.013393464409512907
0.15,0.7942400000000001,0.01784197298507093
0.2,0.7958799999999999,0.01386544866445608
0.25,0.7909200000000001,0.023268901516353954
0.3,0.7748000000000002,0.020616282669557864
0.35,0.75308,0.021798307783454686
0.4,0.7414799999999999,0.02189839162028929
0.45,0.7223199999999999,0.03158722667295892
0.5,0.7009199999999999,0.030714773861015697
0.55,0.6377200000000001,0.03998846500346485
0.6,0.6245200000000001,0.041338945855505835
0.65,0.51084,0.06983674931979263
0.7,0.45655999999999997,0.0813969587201444
0.75,0.28412,0.08244681518005006
0.8,0.15399999999999997,0.0659524407770057
0.85,0.11327999999999998,0.03853393309798521
0.9,0.05723999999999999,0.026212431317135684
0.95,0.02964,0.018355937580097736
1.0,0.0298,0.023242298605009887
