,SVM-RBF NDVI,SVM-RBF NDVI STD
0.0,0.8177200000000001,0.07123970178988055
0.05,0.79616,0.06421552598692762
0.1,0.7641600000000001,0.0510571618656754
0.15,0.74116,0.041961442618988515
0.2,0.7076399999999999,0.03523758094862802
0.25,0.6582800000000001,0.04001290902807353
0.3,0.63336,0.03722135587714845
0.35,0.58712,0.02877084944484222
0.4,0.53684,0.034696628078244154
0.45,0.47752,0.03201710653871009
0.5,0.4305999999999999,0.03747935728133851
0.55,0.37572,0.035910035737474096
0.6,0.3186399999999999,0.031405137583947425
0.65,0.26832,0.0315354051468786
0.7,0.22323999999999997,0.03345548285906712
0.75,0.19088,0.03658575314700154
0.8,0.15360000000000001,0.02193080025899648
0.85,0.11895999999999998,0.02186682926768813
0.9,0.08692,0.02391247001508255
0.95,0.06664,0.017427640880700597
1.0,0.04096000000000001,0.022284783049326632
